Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2000-07-11,37.216167,38.508396,36.44083,36.44083,6.93378,6445795,0.0,0.0
2000-07-12,36.699276,37.086945,36.570053,37.086945,7.056721,1023523,0.0,0.0
2000-07-13,37.086945,37.603836,36.699276,36.957722,7.032131,1454465,0.0,0.0
2000-07-14,36.957722,37.216167,36.699276,36.957722,7.032131,774147,0.0,0.0
2000-07-17,36.311607,36.44083,35.277824,35.277824,6.71249,1608994,0.0,0.0
2000-07-18,35.148602,35.148602,32.047256,32.305702,6.146967,2286942,0.0,0.0
2000-07-19,34.114819,34.502487,33.856373,34.244041,6.515786,470650,0.0,0.0
2000-07-20,34.890156,35.794716,34.760933,35.665493,6.786251,446129,0.0,0.0
2000-07-21,36.44083,36.828499,36.311607,36.828499,7.007542,492028,0.0,0.0
2000-07-24,36.828499,37.216167,36.570053,36.570053,6.958368,314525,0.0,0.0
2000-07-25,36.44083,36.699276,36.182384,36.44083,6.93378,228578,0.0,0.0
2000-07-26,35.923939,36.053162,35.148602,35.148602,6.6879,152692,0.0,0.0
2000-07-27,35.277824,35.277824,34.63171,34.63171,6.589548,147952,0.0,0.0
2000-07-28,34.890156,35.277824,34.760933,34.760933,6.614137,130879,0.0,0.0
2000-07-31,34.760933,34.890156,34.63171,34.63171,6.589548,107034,0.0,0.0
2000-08-01,35.277824,35.407047,35.148602,35.277824,6.71249,74339,0.0,0.0
2000-08-02,35.665493,36.182384,35.407047,36.182384,6.884604,89961,0.0,0.0
2000-08-03,35.407047,35.665493,35.407047,35.53627,6.761666,64859,0.0,0.0
2000-08-04,35.407047,36.182384,35.407047,36.182384,6.884604,92718,0.0,0.0
2000-08-07,35.923939,36.053162,35.407047,35.407047,6.737076,197575,0.0,0.0
2000-08-08,34.890156,35.019379,34.502487,34.63171,6.589548,259242,0.0,0.0
2000-08-09,34.63171,34.63171,34.244041,34.502487,6.564962,329857,0.0,0.0
2000-08-10,34.502487,34.63171,34.244041,34.63171,6.589548,263305,0.0,0.0
2000-08-11,34.502487,34.63171,34.502487,34.63171,6.589548,166524,0.0,0.0
2000-08-14,33.985596,34.114819,32.951817,33.597927,6.392846,536041,0.0,0.0
2000-08-15,32.564144,32.564144,31.659588,32.047256,6.097791,174408,0.0,0.0
2000-08-16,31.659588,31.918032,31.659588,31.918032,6.073204,128557,0.0,0.0
2000-08-17,31.013474,31.271917,30.49658,31.013474,5.90109,291551,0.0,0.0
2000-08-18,31.271917,31.530363,31.271917,31.271917,5.950264,60603,0.0,0.0
2000-08-21,30.884251,30.884251,29.204353,29.721245,5.655209,149016,0.0,0.0
2000-08-22,29.721245,30.625805,29.462799,29.462799,5.606034,103939,0.0,0.0
2000-08-23,29.592022,29.979691,29.204353,29.721245,5.655209,152015,0.0,0.0
2000-08-24,29.462799,29.462799,28.816685,28.945908,5.507681,242749,0.0,0.0
2000-08-25,28.429016,28.429016,26.878344,27.653681,5.261804,308237,0.0,0.0
2000-08-28,27.653681,28.945908,27.653681,28.945908,5.507681,49478,0.0,0.0
2000-08-29,28.429016,28.429016,27.26601,27.26601,5.188042,113999,0.0,0.0
2000-08-30,27.912125,28.041348,27.524458,27.782904,5.286392,572654,0.0,0.0
2000-08-31,27.782904,28.041348,27.653681,27.782904,5.286392,94991,0.0,0.0
2000-09-01,27.912125,29.204353,27.912125,29.204353,5.556859,517856,0.0,0.0
2000-09-05,29.333576,29.850468,29.333576,29.721245,5.655209,75741,0.0,0.0
2000-09-06,29.721245,29.721245,28.945908,29.462799,5.606034,179051,0.0,0.0
2000-09-07,28.299793,28.429016,28.041348,28.299793,5.384744,112209,0.0,0.0
2000-09-08,27.912125,27.912125,27.26601,27.26601,5.188042,63069,0.0,0.0
2000-09-11,26.878344,27.007566,26.619898,26.619898,5.065101,83867,0.0,0.0
2000-09-12,26.878344,28.041348,26.878344,27.395233,5.212628,160237,0.0,0.0
2000-09-13,27.007566,27.136787,26.878344,27.007566,5.138864,25827,0.0,0.0
2000-09-14,26.490673,27.653681,26.490673,27.524458,5.237216,117143,0.0,0.0
2000-09-15,27.524458,27.524458,27.136787,27.395233,5.212628,60748,0.0,0.0
2000-09-18,25.069223,25.844561,24.810778,24.810778,4.720872,131024,0.0,0.0
2000-09-19,25.069223,25.456892,24.810778,25.327669,4.819222,108340,0.0,0.0
2000-09-20,26.361452,26.619898,25.586115,25.973783,4.942162,251987,0.0,0.0
2000-09-21,25.715338,25.715338,24.293886,24.293886,4.622519,241782,0.0,0.0
2000-09-22,22.484768,22.484768,20.934093,20.934093,3.983234,415416,0.0,0.0
2000-09-25,21.838654,21.838654,20.546427,20.546427,3.909472,288842,0.0,0.0
2000-09-26,21.709431,21.709431,20.675648,20.934093,3.983234,888001,0.0,0.0
2000-09-27,21.063316,21.192539,21.063316,21.192539,4.032412,107905,0.0,0.0
2000-09-28,21.838654,22.613991,21.838654,22.613991,4.302877,217309,0.0,0.0
2000-09-29,22.613991,23.001659,22.484768,22.743214,4.327466,74339,0.0,0.0
2000-10-02,23.260103,23.389326,22.872437,23.001659,4.376641,130734,0.0,0.0
2000-10-03,23.001659,23.518551,23.001659,23.130882,4.401229,50446,0.0,0.0
2000-10-04,23.001659,23.130882,22.743214,23.001659,4.376641,102826,0.0,0.0
2000-10-05,23.001659,23.130882,22.743214,23.130882,4.401229,108582,0.0,0.0
2000-10-06,23.776997,24.164663,23.776997,24.03544,4.573343,280620,0.0,0.0
2000-10-09,23.906218,24.164663,23.906218,24.03544,4.573343,51655,0.0,0.0
2000-10-10,25.844561,26.103006,25.456892,25.973783,4.942162,184517,0.0,0.0
2000-10-11,25.327669,25.327669,24.681555,24.810778,4.720872,299144,0.0,0.0
2000-10-12,24.681555,24.810778,23.776997,23.776997,4.524168,129524,0.0,0.0
2000-10-13,24.03544,24.810778,23.906218,24.681555,4.696283,169475,0.0,0.0
2000-10-16,25.069223,25.327669,24.940001,25.069223,4.770047,122173,0.0,0.0
2000-10-17,24.810778,24.810778,24.423109,24.423109,4.647108,116998,0.0,0.0
2000-10-18,23.260103,23.260103,21.967876,22.872437,4.352054,237381,0.0,0.0
2000-10-19,22.743214,23.260103,22.484768,22.743214,4.327466,88897,0.0,0.0
2000-10-20,22.743214,22.743214,21.709431,21.967876,4.179938,142196,0.0,0.0
2000-10-23,21.709431,21.838654,21.321762,21.838654,4.15535,53154,0.0,0.0
2000-10-24,22.226322,22.484768,21.838654,21.967876,4.179938,98086,0.0,0.0
2000-10-25,21.709431,21.838654,21.450985,21.450985,4.081586,116079,0.0,0.0
2000-10-26,21.450985,21.580208,21.192539,21.580208,4.106174,15284,0.0,0.0
2000-10-27,21.709431,22.484768,21.580208,22.484768,4.27829,138472,0.0,0.0
2000-10-30,22.743214,22.743214,22.355545,22.355545,4.253702,116901,0.0,0.0
2000-10-31,22.355545,22.743214,22.226322,22.613991,4.302877,24086,0.0,0.0
2000-11-01,23.001659,23.260103,22.872437,23.001659,4.376641,46915,0.0,0.0
2000-11-02,23.518551,24.552332,23.389326,24.164663,4.597932,98957,0.0,0.0
2000-11-03,24.293886,24.552332,24.293886,24.423109,4.647108,49333,0.0,0.0
2000-11-06,23.647774,23.647774,23.130882,23.260103,4.425817,93637,0.0,0.0
2000-11-07,22.613991,22.743214,22.613991,22.613991,4.302877,41450,0.0,0.0
2000-11-08,21.450985,22.484768,21.450985,21.838654,4.15535,300595,0.0,0.0
2000-11-09,21.838654,22.484768,21.838654,22.484768,4.27829,119900,0.0,0.0
2000-11-10,22.355545,22.484768,21.967876,22.226322,4.229114,260742,0.0,0.0
2000-11-13,21.192539,21.709431,21.192539,21.450985,4.081586,376627,0.0,0.0
2000-11-14,21.709431,21.838654,21.580208,21.709431,4.130763,3095,0.0,0.0
2000-11-15,21.838654,21.838654,20.417204,20.417204,3.884883,153175,0.0,0.0
2000-11-16,20.287979,20.417204,20.287979,20.287979,3.860296,32889,0.0,0.0
2000-11-17,20.417204,20.417204,19.641867,19.900312,3.786532,45561,0.0,0.0
2000-11-20,18.737307,18.866529,18.478861,18.608084,3.540654,48608,0.0,0.0
2000-11-21,18.349638,18.995752,18.220415,18.995752,3.614417,141422,0.0,0.0
2000-11-22,19.641867,19.641867,18.608084,18.995752,3.614417,196850,0.0,0.0
2000-11-24,18.995752,18.995752,18.866529,18.995752,3.614417,3869,0.0,0.0
2000-11-27,18.737307,18.737307,18.349638,18.349638,3.491478,20507,0.0,0.0
