Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-04-14,25.18,25.35,25.17,25.26,21.104132,3700,0.0,0.0,0.0
2026-04-15,25.299999,25.299999,25.24,25.27,21.112486,800,0.0,0.0,0.0
2026-04-16,24.959999,25.0,24.719999,24.77,20.69475,5300,0.0,0.0,0.0
2026-04-17,24.719999,24.969999,24.540001,24.74,21.073805,5100,0.475,0.0,0.0
2026-04-20,24.73,24.9,24.5,24.65,20.997143,700,0.0,0.0,0.0
2026-04-21,24.719999,24.719999,24.629999,24.690001,21.031214,1600,0.0,0.0,0.0
2026-04-22,24.870001,25.200001,24.85,25.200001,21.465641,6100,0.0,0.0,0.0
2026-04-23,25.25,25.33,25.200001,25.24,21.49971,11400,0.0,0.0,0.0
2026-04-24,24.85,24.9,24.790001,24.85,21.581345,5800,0.484,0.0,0.0
2026-04-27,24.82,24.950001,24.82,24.9,21.624769,5000,0.0,0.0,0.0
2026-04-28,24.629999,24.75,24.4,24.469999,21.251329,2200,0.0,0.0,0.0
2026-04-29,24.379999,24.49,24.379999,24.49,21.268698,3100,0.0,0.0,0.0
2026-04-30,24.6,24.65,24.299999,24.6,21.364229,7000,0.0,0.0,0.0
2026-05-01,24.35,24.440001,24.17,24.26,21.46332,3000,0.452,0.0,0.0
2026-05-04,24.889999,24.889999,24.059999,24.68,21.834904,2500,0.0,0.0,0.0
2026-05-05,24.67,24.700001,24.4,24.4,21.587177,3300,0.0,0.0,0.0
2026-05-06,24.48,25.17,24.48,25.16,22.259565,4000,0.0,0.0,0.0
2026-05-07,25.16,25.209999,25.040001,25.17,22.268414,4100,0.0,0.0,0.0
2026-05-08,24.91,24.91,24.639999,24.73,22.298168,3800,0.473,0.0,0.0
2026-05-11,24.4,24.91,24.4,24.860001,22.415388,4400,0.0,0.0,0.0
2026-05-12,24.6,24.790001,24.57,24.780001,22.343252,3000,0.0,0.0,0.0
2026-05-13,24.969999,24.969999,24.91,24.91,22.460466,700,0.0,0.0,0.0
2026-05-14,24.969999,25.209999,24.85,25.16,22.685884,8000,0.0,0.0,0.0
2026-05-15,24.66,24.76,24.66,24.74,22.563671,2800,0.286,0.0,0.0
2026-05-18,24.92,24.92,24.620001,24.83,22.645758,1000,0.0,0.0,0.0
2026-05-19,24.84,24.98,24.67,24.889999,22.700478,5700,0.0,0.0,0.0
2026-05-20,24.959999,25.08,24.959999,25.049999,22.846401,2800,0.0,0.0,0.0
2026-05-21,25.09,25.16,25.049999,25.16,22.946728,1000,0.0,0.0,0.0
