Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-09-03,10.79,33.990002,10.79,11.84,11.84,867537,0.0,0.0
2026-09-04,7.7,8.0,6.34,7.34,7.34,672671,0.0,0.0
2026-09-08,5.76,5.84,5.2,5.305,5.305,303278,0.0,0.0
2026-09-09,4.63,4.96,4.16,4.45,4.45,335229,0.0,0.0
2026-09-10,4.2,4.64,3.97,4.47,4.47,196088,0.0,0.0
2026-09-11,4.29,4.76,4.2,4.33,4.33,58631,0.0,0.0
2026-09-14,4.35,4.42,4.06,4.25,4.25,46229,0.0,0.0
2026-09-15,4.25,4.3,4.02,4.25,4.25,44420,0.0,0.0
2026-09-16,4.15,4.19,3.605,3.705,3.705,140511,0.0,0.0
2026-09-17,3.82,4.07,3.5,3.81,3.81,93185,0.0,0.0
2026-09-18,3.85,3.99,3.665,3.76,3.76,41850,0.0,0.0
