Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1986-04-02,0.800781,0.820313,0.800781,0.804688,0.308831,40921600,0.0,0.0
1986-04-03,0.804688,0.945313,0.804688,0.90625,0.34781,20761600,0.0,0.0
1986-04-04,0.90625,0.9375,0.898438,0.90625,0.34781,10419200,0.0,0.0
1986-04-07,0.90625,0.90625,0.875,0.890625,0.341813,6387200,0.0,0.0
1986-04-08,0.890625,0.914063,0.867188,0.90625,0.34781,2768000,0.0,0.0
1986-04-09,0.90625,0.929688,0.90625,0.921875,0.353806,2454400,0.0,0.0
1986-04-10,0.921875,0.984375,0.921875,0.96875,0.371797,5267200,0.0,0.0
1986-04-11,0.976563,1.0,0.976563,1.0,0.38379,2464000,0.0,0.0
1986-04-14,1.0,1.039063,0.992188,1.039063,0.398782,2601600,0.0,0.0
1986-04-15,1.039063,1.054688,1.023438,1.046875,0.40178,1648000,0.0,0.0
1986-04-16,1.046875,1.117188,1.046875,1.117188,0.428766,1993600,0.0,0.0
1986-04-17,1.117188,1.132813,1.109375,1.132813,0.434763,1296000,0.0,0.0
1986-04-18,1.132813,1.171875,1.125,1.15625,0.443757,3625600,0.0,0.0
1986-04-21,1.15625,1.289063,1.15625,1.273438,0.488733,4800000,0.0,0.0
1986-04-22,1.273438,1.40625,1.257813,1.320313,0.506723,6912000,0.0,0.0
1986-04-23,1.320313,1.335938,1.28125,1.320313,0.506723,3430400,0.0,0.0
1986-04-24,1.320313,1.351563,1.320313,1.328125,0.509721,1353600,0.0,0.0
1986-04-25,1.328125,1.34375,1.3125,1.335938,0.512719,1228800,0.0,0.0
1986-04-28,1.335938,1.351563,1.328125,1.328125,0.509721,454400,0.0,0.0
1986-04-29,1.328125,1.335938,1.3125,1.335938,0.512719,3337600,0.0,0.0
1986-04-30,1.335938,1.335938,1.203125,1.203125,0.461748,4256000,0.0,0.0
1986-05-01,1.203125,1.203125,1.15625,1.164063,0.446756,2880000,0.0,0.0
1986-05-02,1.164063,1.175781,1.164063,1.171875,0.449754,838400,0.0,0.0
1986-05-05,1.171875,1.179688,1.164063,1.171875,0.449754,886400,0.0,0.0
1986-05-06,1.171875,1.179688,1.164063,1.171875,0.449754,1043200,0.0,0.0
1986-05-07,1.171875,1.171875,1.078125,1.101563,0.422769,3372800,0.0,0.0
1986-05-08,1.101563,1.109375,1.039063,1.085938,0.416772,3769600,0.0,0.0
1986-05-09,1.09375,1.136719,1.09375,1.117188,0.428766,2182400,0.0,0.0
1986-05-12,1.117188,1.117188,1.078125,1.085938,0.416772,889600,0.0,0.0
1986-05-13,1.085938,1.085938,1.0,1.023438,0.392785,1440000,0.0,0.0
1986-05-14,1.023438,1.054688,1.015625,1.054688,0.404779,1078400,0.0,0.0
1986-05-15,1.054688,1.054688,1.046875,1.046875,0.40178,304000,0.0,0.0
1986-05-16,1.046875,1.054688,1.023438,1.03125,0.395783,1712000,0.0,0.0
1986-05-19,1.03125,1.03125,1.0,1.007813,0.386789,707200,0.0,0.0
1986-05-20,1.007813,1.015625,1.0,1.007813,0.386789,118400,0.0,0.0
