Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2002-12-16,3.28,3.6,3.28,3.54,1.901897,556500,0.0,0.0
2002-12-17,3.56,3.68,3.48,3.5,1.880406,1523000,0.0,0.0
2002-12-18,3.53,3.53,3.49,3.508,1.884704,413500,0.0,0.0
2002-12-19,3.502,3.612,3.5,3.612,1.940579,1211500,0.0,0.0
2002-12-20,3.62,3.84,3.62,3.712,1.994305,1549000,0.0,0.0
2002-12-23,3.762,3.836,3.762,3.812,2.048031,501500,0.0,0.0
2002-12-24,3.772,3.86,3.772,3.86,2.073819,126000,0.0,0.0
2002-12-26,3.88,3.884,3.82,3.866,2.077043,317000,0.0,0.0
2002-12-27,3.866,3.866,3.818,3.852,2.069521,298000,0.0,0.0
2002-12-30,3.84,3.84,3.8,3.802,2.042659,119500,0.0,0.0
2002-12-31,3.81,3.844,3.81,3.844,2.065223,111000,0.0,0.0
2003-01-02,3.84,3.908,3.84,3.902,2.096384,328500,0.0,0.0
2003-01-03,3.89,3.98,3.87,3.98,2.138291,344000,0.0,0.0
2003-01-06,4.01,4.12,4.0,4.116,2.211357,866000,0.0,0.0
2003-01-07,4.11,4.27,4.1,4.254,2.285499,651500,0.0,0.0
2003-01-08,4.222,4.58,4.21,4.5,2.417665,1763500,0.0,0.0
2003-01-09,4.46,4.64,4.33,4.59,2.466018,2531000,0.0,0.0
2003-01-10,4.57,4.57,4.48,4.48,2.406919,950000,0.0,0.0
2003-01-13,4.46,4.46,4.36,4.39,2.358566,205000,0.0,0.0
2003-01-14,4.32,4.38,4.304,4.35,2.337076,447000,0.0,0.0
2003-01-15,4.34,4.34,4.304,4.336,2.329554,435500,0.0,0.0
2003-01-16,4.338,4.45,4.338,4.448,2.389728,617500,0.0,0.0
2003-01-17,4.4,4.4,4.25,4.262,2.289797,190000,0.0,0.0
2003-01-21,4.264,4.28,4.162,4.22,2.267232,354500,0.0,0.0
2003-01-22,4.15,4.154,4.06,4.1,2.202761,328000,0.0,0.0
2003-01-23,4.108,4.13,4.01,4.04,2.170526,216000,0.0,0.0
2003-01-24,4.04,4.044,3.922,3.938,2.115726,142000,0.0,0.0
2003-01-27,3.94,3.96,3.84,3.86,2.073819,559500,0.0,0.0
2003-01-28,3.86,4.0,3.85,3.9,2.09531,329500,0.0,0.0
2003-01-29,3.9,4.02,3.9,3.962,2.12862,549000,0.0,0.0
2003-01-30,3.906,3.992,3.898,3.95,2.122172,569000,0.0,0.0
2003-01-31,3.95,3.97,3.91,3.92,2.106055,780500,0.0,0.0
2003-02-03,3.912,4.16,3.908,4.16,2.234997,408500,0.0,0.0
2003-02-04,4.15,4.21,4.02,4.11,2.208134,988000,0.0,0.0
2003-02-05,4.12,4.13,3.994,4.042,2.1716,697000,0.0,0.0
2003-02-06,4.08,4.08,4.032,4.072,2.187718,436500,0.0,0.0
2003-02-07,4.03,4.08,3.988,4.08,2.192016,319000,0.0,0.0
2003-02-10,4.07,4.07,3.992,4.05,2.175898,563500,0.0,0.0
2003-02-11,4.04,4.212,4.04,4.21,2.26186,1532000,0.0,0.0
2003-02-12,4.18,4.302,4.18,4.284,2.301618,1424500,0.0,0.0
2003-02-13,4.286,4.332,4.286,4.302,2.311288,906000,0.0,0.0
2003-02-14,4.298,4.298,4.242,4.26,2.288723,903000,0.0,0.0
2003-02-18,4.26,4.338,4.258,4.3,2.310213,650000,0.0,0.0
2003-02-19,4.302,4.36,4.294,4.33,2.326331,1093500,0.0,0.0
