Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-02,10.5,10.5,9.9,9.965,9.965,229900,0.0,0.0
2025-07-03,9.99,9.99,9.97,9.975,9.975,12200,0.0,0.0
2025-07-07,9.98,9.98,9.96,9.98,9.98,826900,0.0,0.0
2025-07-08,9.985,9.99,9.98,9.98,9.98,684400,0.0,0.0
2025-07-09,9.98,9.98,9.98,9.98,9.98,0,0.0,0.0
2025-07-10,9.98,10.0,9.98,9.98,9.98,51200,0.0,0.0
2025-07-11,9.99,10.0,9.99,10.0,10.0,45500,0.0,0.0
2025-07-14,10.0,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-07-15,9.99,9.995,9.99,9.995,9.995,3300,0.0,0.0
2025-07-16,9.995,9.995,9.995,9.995,9.995,0,0.0,0.0
2025-07-17,9.995,9.995,9.995,9.995,9.995,0,0.0,0.0
2025-07-18,10.0,10.0,10.0,10.0,10.0,42000,0.0,0.0
2025-07-21,9.992,10.0,9.99,10.0,10.0,153400,0.0,0.0
2025-07-22,9.981,9.995,9.981,9.995,9.995,21600,0.0,0.0
2025-07-23,9.984,10.0,9.984,9.99,9.99,191100,0.0,0.0
2025-07-24,10.0,10.0,10.0,10.0,10.0,60200,0.0,0.0
2025-07-25,9.99,10.0,9.99,10.0,10.0,13200,0.0,0.0
2025-07-28,9.999,10.0,9.996,10.0,10.0,41200,0.0,0.0
2025-07-29,10.0,10.0,9.99,9.996,9.996,64300,0.0,0.0
2025-07-30,10.0,10.0,9.995,9.995,9.995,12300,0.0,0.0
2025-07-31,10.0,10.0,10.0,10.0,10.0,12200,0.0,0.0
2025-08-01,10.0,10.0,10.0,10.0,10.0,16900,0.0,0.0
2025-08-04,10.0,10.0,10.0,10.0,10.0,16500,0.0,0.0
2025-08-05,10.0,10.0,9.99,10.0,10.0,90200,0.0,0.0
2025-08-06,10.0,10.0,9.985,10.0,10.0,14500,0.0,0.0
2025-08-07,10.0,10.0,9.97,10.0,10.0,46700,0.0,0.0
2025-08-08,10.0,10.0,10.0,10.0,10.0,0,0.0,0.0
2025-08-11,10.01,10.01,10.0,10.0,10.0,97400,0.0,0.0
2025-08-12,10.01,10.01,10.01,10.01,10.01,3300,0.0,0.0
2025-08-13,10.02,10.02,10.02,10.02,10.02,100,0.0,0.0
2025-08-14,10.02,10.02,10.02,10.02,10.02,155100,0.0,0.0
2025-08-15,10.04,10.04,10.04,10.04,10.04,300,0.0,0.0
2025-08-18,10.04,10.04,10.04,10.04,10.04,0,0.0,0.0
2025-08-19,10.01,10.01,10.01,10.01,10.01,50000,0.0,0.0
2025-08-20,10.04,10.04,10.04,10.04,10.04,300,0.0,0.0
2025-08-21,10.04,10.04,10.04,10.04,10.04,0,0.0,0.0
2025-08-22,10.04,10.04,10.04,10.04,10.04,400,0.0,0.0
2025-08-25,10.04,10.04,10.04,10.04,10.04,0,0.0,0.0
2025-08-26,10.04,10.04,10.04,10.04,10.04,0,0.0,0.0
2025-08-27,10.035,10.04,10.03,10.04,10.04,55400,0.0,0.0
