Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-06-10,22.5,24.77,17.0,17.24,17.24,948300,0.0,0.0
2020-06-11,16.209999,18.23,16.01,17.17,17.17,263400,0.0,0.0
2020-06-12,17.9,17.9,16.23,16.530001,16.530001,79900,0.0,0.0
2020-06-15,16.0,17.77,15.55,17.139999,17.139999,63600,0.0,0.0
2020-06-16,17.66,18.0,16.559999,17.99,17.99,66500,0.0,0.0
2020-06-17,18.32,18.32,17.41,17.903999,17.903999,14800,0.0,0.0
2020-06-18,17.799999,18.15,16.0,16.33,16.33,61700,0.0,0.0
2020-06-19,16.620001,16.98,16.4,16.4,16.4,23600,0.0,0.0
2020-06-22,17.450001,17.450001,16.6,16.74,16.74,6300,0.0,0.0
2020-06-23,16.780001,17.0,16.4,16.843,16.843,14600,0.0,0.0
2020-06-24,17.440001,17.440001,16.33,16.568001,16.568001,17900,0.0,0.0
2020-06-25,16.5,16.780001,16.393,16.75,16.75,6200,0.0,0.0
2020-06-26,16.525,16.73,16.43,16.43,16.43,7500,0.0,0.0
2020-06-29,16.33,16.700001,16.0,16.681999,16.681999,14000,0.0,0.0
2020-06-30,16.5,16.67,16.200001,16.475,16.475,10500,0.0,0.0
2020-07-01,16.299999,16.576,16.110001,16.25,16.25,18200,0.0,0.0
2020-07-02,16.15,16.25,15.6,15.791,15.791,16800,0.0,0.0
2020-07-06,15.99,16.0,15.512,15.512,15.512,11200,0.0,0.0
2020-07-07,15.51,15.713,13.71,13.77,13.77,26000,0.0,0.0
2020-07-08,13.78,14.0,13.55,13.875,13.875,13000,0.0,0.0
2020-07-09,13.88,13.88,13.26,13.6,13.6,7600,0.0,0.0
2020-07-10,13.8,14.5,13.45,13.89,13.89,10300,0.0,0.0
2020-07-13,14.4,14.8,14.239,14.445,14.445,10100,0.0,0.0
2020-07-14,14.612,14.612,14.0,14.55,14.55,7600,0.0,0.0
2020-07-15,14.36,14.36,14.02,14.16,14.16,6100,0.0,0.0
2020-07-16,14.09,14.09,13.61,13.89,13.89,2700,0.0,0.0
2020-07-17,13.61,14.0,13.61,13.93,13.93,3700,0.0,0.0
2020-07-20,14.09,14.09,13.6,13.83,13.83,2200,0.0,0.0
2020-07-21,13.75,13.752,13.75,13.752,13.752,1000,0.0,0.0
2020-07-22,13.8,13.8,12.29,13.19,13.19,11300,0.0,0.0
