Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-22,15.1,15.699,15.095,15.368,13.794728,157600,0.0,0.0,0.0
2025-07-23,15.7,16.43,15.38,16.43,14.748008,2490900,0.0,0.0,0.0
2025-07-24,15.16,15.73,14.5,14.67,13.168184,3631500,0.0,0.0,0.0
2025-07-25,14.91,15.348,14.74,14.767,13.255255,1193800,0.0,0.0,0.0
2025-07-28,15.14,15.19,14.659,14.94,13.410543,1715700,0.0,0.0,0.0
2025-07-29,13.25,13.93,12.672,12.8,11.489623,7144000,0.0,0.0,0.0
2025-07-30,13.0,13.22,12.41,13.17,11.821745,3506400,0.0,0.0,0.0
2025-07-31,12.63,12.667,11.34,11.52,10.340661,6309400,0.0,0.0,0.0
2025-08-01,11.63,11.66,10.14,10.4,9.335318,6867000,0.0,0.0,0.0
2025-08-04,10.53,10.79,10.34,10.68,9.586654,3190600,0.0,0.0,0.0
2025-08-05,10.7,11.655,10.611,11.58,10.394518,5552000,0.0,0.0,0.0
2025-08-06,11.53,11.76,11.04,11.08,9.945704,3434800,0.0,0.0,0.0
2025-08-07,11.12,11.35,10.52,10.97,9.846966,3671700,0.0,0.0,0.0
2025-08-08,10.97,11.54,10.95,11.54,10.358613,2746600,0.0,0.0,0.0
2025-08-11,11.8,12.21,11.64,11.67,10.475305,3403800,0.0,0.0,0.0
2025-08-12,11.89,12.62,11.77,12.52,11.238287,3720400,0.0,0.0,0.0
2025-08-13,12.8,13.51,12.64,13.49,12.108985,4403100,0.0,0.0,0.0
2025-08-14,13.48,13.68,13.0,13.44,12.064103,9278000,0.0,0.0,0.0
2025-08-15,16.4,17.27,15.73,16.66,14.954462,16801000,0.0,0.0,0.0
2025-08-18,17.700001,18.0,17.01,17.139999,15.385322,10047700,0.0,0.0,0.0
2025-08-19,17.17,17.34,16.09,16.65,14.945485,8386600,0.0,0.0,0.0
2025-08-20,16.799999,16.959999,15.71,16.139999,14.487696,5803600,0.0,0.0,0.0
2025-08-21,16.43,16.889999,15.96,16.549999,14.855722,3746900,0.0,0.0,0.0
2025-08-22,16.860001,17.32,16.700001,16.959999,15.223749,4398700,0.0,0.0,0.0
