Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2011-04-21,20.26,22.33,18.34,18.799999,18.799999,18178500,0.0,0.0
2011-04-25,19.4,19.5,17.32,17.75,17.75,2323400,0.0,0.0
2011-04-26,17.700001,18.709999,17.4,17.559999,17.559999,1800000,0.0,0.0
2011-04-27,17.84,17.84,15.8,16.25,16.25,1976500,0.0,0.0
2011-04-28,16.110001,16.780001,15.7,16.030001,16.030001,1900000,0.0,0.0
2011-04-29,15.95,16.42,15.3,15.51,15.51,1343900,0.0,0.0
2011-05-02,15.74,17.0,15.54,16.68,16.68,1471100,0.0,0.0
2011-05-03,16.9,16.93,15.54,15.74,15.74,1379400,0.0,0.0
2011-05-04,15.62,15.69,13.94,14.59,14.59,1744500,0.0,0.0
2011-05-05,14.18,15.04,13.42,13.5,13.5,891700,0.0,0.0
2011-05-06,13.75,14.2,13.16,13.75,13.75,1012800,0.0,0.0
2011-05-09,13.7,14.4,13.12,14.26,14.26,631700,0.0,0.0
2011-05-10,14.39,15.65,14.16,15.35,15.35,936800,0.0,0.0
2011-05-11,15.43,15.43,14.5,14.93,14.93,394700,0.0,0.0
2011-05-12,14.95,14.95,14.28,14.53,14.53,430000,0.0,0.0
2011-05-13,14.55,14.65,13.75,13.91,13.91,623800,0.0,0.0
2011-05-16,13.97,13.97,12.24,12.55,12.55,861300,0.0,0.0
2011-05-17,12.4,12.45,11.32,12.04,12.04,836400,0.0,0.0
2011-05-18,11.81,13.71,11.81,13.47,13.47,801100,0.0,0.0
2011-05-19,13.74,13.74,12.83,13.47,13.47,618000,0.0,0.0
2011-05-20,13.35,13.71,12.7,12.81,12.81,502700,0.0,0.0
2011-05-23,12.56,12.56,11.25,11.29,11.29,836100,0.0,0.0
2011-05-24,11.27,11.79,11.25,11.61,11.61,444900,0.0,0.0
2011-05-25,11.51,11.94,11.29,11.31,11.31,583000,0.0,0.0
2011-05-26,11.26,12.24,11.26,12.06,12.06,354700,0.0,0.0
2011-05-27,12.4,13.5,12.26,13.28,13.28,638400,0.0,0.0
2011-05-31,13.4,13.4,12.34,12.37,12.37,392900,0.0,0.0
2011-06-01,12.55,12.88,11.84,11.85,11.85,338900,0.0,0.0
2011-06-02,12.95,13.12,12.14,12.61,12.61,569600,0.0,0.0
2011-06-03,12.36,12.63,11.85,11.95,11.95,351100,0.0,0.0
2011-06-06,12.28,12.28,10.6,10.77,10.77,701300,0.0,0.0
2011-06-07,10.74,10.86,9.87,10.46,10.46,1633900,0.0,0.0
2011-06-08,10.37,10.8,10.08,10.14,10.14,290000,0.0,0.0
2011-06-09,10.3,10.5,10.02,10.26,10.26,547500,0.0,0.0
2011-06-10,10.26,10.26,9.95,10.01,10.01,211700,0.0,0.0
2011-06-13,10.1,10.33,9.65,9.92,9.92,392300,0.0,0.0
2011-06-14,10.49,11.35,10.02,10.75,10.75,295800,0.0,0.0
2011-06-15,10.84,11.1,10.27,10.6,10.6,190700,0.0,0.0
2011-06-16,10.75,11.37,10.68,11.03,11.03,299400,0.0,0.0
2011-06-17,11.12,11.35,10.89,10.99,10.99,107200,0.0,0.0
2011-06-20,10.88,11.59,10.65,11.2,11.2,164500,0.0,0.0
2011-06-21,11.3,12.44,11.06,12.36,12.36,251600,0.0,0.0
2011-06-22,12.25,12.28,11.73,12.0,12.0,90200,0.0,0.0
2011-06-23,11.75,13.08,11.1,13.0,13.0,116900,0.0,0.0
2011-06-24,12.92,13.1,12.66,13.1,13.1,133900,0.0,0.0
2011-06-27,12.84,13.45,12.81,13.04,13.04,215900,0.0,0.0
2011-06-28,12.72,13.5,12.33,12.88,12.88,319600,0.0,0.0
2011-06-29,13.03,13.53,13.03,13.53,13.53,222800,0.0,0.0
2011-06-30,13.45,13.95,13.45,13.74,13.74,283000,0.0,0.0
2011-07-01,13.88,14.22,13.78,14.17,14.17,231900,0.0,0.0
2011-07-05,14.02,14.53,14.0,14.28,14.28,299300,0.0,0.0
2011-07-06,14.39,14.4,14.1,14.28,14.28,399200,0.0,0.0
2011-07-07,14.3,14.52,14.23,14.27,14.27,109000,0.0,0.0
2011-07-08,13.97,14.8,13.38,14.69,14.69,221600,0.0,0.0
2011-07-11,14.6,14.8,14.33,14.73,14.73,86100,0.0,0.0
2011-07-12,14.72,14.72,14.16,14.27,14.27,86500,0.0,0.0
2011-07-13,14.4,14.82,14.24,14.28,14.28,70800,0.0,0.0
2011-07-14,14.5,14.5,14.25,14.35,14.35,51300,0.0,0.0
2011-07-15,14.35,14.46,14.02,14.37,14.37,39200,0.0,0.0
2011-07-18,14.35,14.4,13.85,14.23,14.23,39100,0.0,0.0
2011-07-19,14.4,14.4,13.92,14.24,14.24,66500,0.0,0.0
2011-07-20,14.32,14.44,13.95,13.99,13.99,440200,0.0,0.0
2011-07-21,14.02,14.1,13.35,13.95,13.95,155800,0.0,0.0
2011-07-22,14.42,14.42,13.51,13.69,13.69,300200,0.0,0.0
2011-07-25,13.62,13.76,13.35,13.62,13.62,152200,0.0,0.0
2011-07-26,13.55,14.0,13.25,13.47,13.47,41200,0.0,0.0
2011-07-27,13.39,13.52,12.95,13.05,13.05,193100,0.0,0.0
2011-07-28,12.98,13.07,12.49,12.9,12.9,83900,0.0,0.0
2011-07-29,12.5,13.44,12.42,13.15,13.15,83700,0.0,0.0
2011-08-01,13.48,13.94,13.33,13.53,13.53,203000,0.0,0.0
2011-08-02,13.43,13.94,13.35,13.51,13.51,311900,0.0,0.0
2011-08-03,13.52,13.52,12.98,13.24,13.24,79700,0.0,0.0
2011-08-04,13.6,14.09,13.04,13.23,13.23,577200,0.0,0.0
2011-08-05,13.22,13.3,11.78,12.35,12.35,378100,0.0,0.0
2011-08-08,11.56,11.56,10.15,10.35,10.35,528600,0.0,0.0
2011-08-09,10.82,11.33,10.35,11.33,11.33,306400,0.0,0.0
2011-08-10,10.8,12.21,10.61,11.45,11.45,111200,0.0,0.0
2011-08-11,11.65,13.22,11.23,12.87,12.87,249300,0.0,0.0
2011-08-12,13.06,13.06,11.82,12.29,12.29,37100,0.0,0.0
2011-08-15,12.4,13.23,11.96,12.13,12.13,135000,0.0,0.0
2011-08-16,11.98,12.46,11.42,11.74,11.74,142300,0.0,0.0
2011-08-17,12.13,12.13,11.11,11.19,11.19,39000,0.0,0.0
2011-08-18,10.6,11.21,10.17,10.36,10.36,147200,0.0,0.0
2011-08-19,10.0,10.78,9.97,10.3,10.3,255600,0.0,0.0
2011-08-22,10.75,10.76,10.06,10.55,10.55,96200,0.0,0.0
2011-08-23,10.66,12.0,10.46,11.61,11.61,120600,0.0,0.0
2011-08-24,11.48,12.05,10.55,11.23,11.23,40600,0.0,0.0
2011-08-25,11.34,11.62,10.79,11.1,11.1,89600,0.0,0.0
2011-08-26,10.93,11.42,10.61,10.96,10.96,83800,0.0,0.0
2011-08-29,11.49,12.21,11.29,11.79,11.79,255900,0.0,0.0
2011-08-30,11.85,12.0,11.19,11.45,11.45,429700,0.0,0.0
2011-08-31,11.5,12.1,11.0,12.02,12.02,314800,0.0,0.0
2011-09-01,12.0,12.01,11.44,11.46,11.46,46700,0.0,0.0
2011-09-02,11.4,11.83,10.67,10.78,10.78,172600,0.0,0.0
2011-09-06,10.76,10.89,10.11,10.52,10.52,117400,0.0,0.0
2011-09-07,10.8,10.93,10.22,10.35,10.35,121100,0.0,0.0
2011-09-08,10.36,10.67,10.07,10.37,10.37,209300,0.0,0.0
2011-09-09,10.29,10.78,9.8,9.92,9.92,126700,0.0,0.0
2011-09-12,9.78,10.17,9.74,10.1,10.1,88300,0.0,0.0
2011-09-13,10.09,10.55,9.9,10.09,10.09,44600,0.0,0.0
2011-09-14,11.41,11.48,10.45,10.81,10.81,182000,0.0,0.0
2011-09-15,10.98,11.42,10.96,11.31,11.31,125400,0.0,0.0
2011-09-16,11.25,11.75,10.98,11.65,11.65,105700,0.0,0.0
2011-09-19,11.74,11.78,11.01,11.63,11.63,80000,0.0,0.0
2011-09-20,11.58,11.65,11.16,11.16,11.16,106900,0.0,0.0
2011-09-21,11.04,11.85,11.0,11.35,11.35,113700,0.0,0.0
2011-09-22,10.71,11.24,10.21,10.96,10.96,308100,0.0,0.0
2011-09-23,11.7,11.7,10.88,11.01,11.01,232200,0.0,0.0
2011-09-26,11.0,11.17,10.9,11.0,11.0,369100,0.0,0.0
2011-09-27,11.14,11.48,10.42,10.61,10.61,148500,0.0,0.0
2011-09-28,10.58,10.95,10.18,10.49,10.49,136100,0.0,0.0
2011-09-29,10.64,10.98,10.14,10.5,10.5,127000,0.0,0.0
2011-09-30,10.23,10.62,9.83,10.15,10.15,352300,0.0,0.0
2011-10-03,10.02,10.49,9.94,10.16,10.16,142300,0.0,0.0
2011-10-04,10.01,10.7,10.01,10.48,10.48,148900,0.0,0.0
2011-10-05,10.5,11.07,10.14,10.5,10.5,171500,0.0,0.0
2011-10-06,10.5,10.84,10.24,10.57,10.57,102500,0.0,0.0
2011-10-07,10.6,10.8,10.22,10.32,10.32,262200,0.0,0.0
2011-10-10,10.48,11.15,10.48,10.96,10.96,123200,0.0,0.0
2011-10-11,11.14,11.14,10.67,10.81,10.81,90300,0.0,0.0
2011-10-12,10.85,11.09,10.7,10.71,10.71,274400,0.0,0.0
2011-10-13,10.69,10.99,10.0,10.25,10.25,149000,0.0,0.0
2011-10-14,10.44,10.96,10.05,10.75,10.75,161500,0.0,0.0
2011-10-17,10.59,11.05,10.32,10.78,10.78,171300,0.0,0.0
2011-10-18,10.74,10.96,10.29,10.37,10.37,143600,0.0,0.0
2011-10-19,10.23,10.23,9.84,10.03,10.03,550300,0.0,0.0
2011-10-20,10.29,10.29,9.55,9.89,9.89,486200,0.0,0.0
2011-10-21,9.89,10.3,9.43,9.98,9.98,714100,0.0,0.0
2011-10-24,9.97,10.02,9.76,9.91,9.91,317900,0.0,0.0
2011-10-25,9.8,9.98,9.39,9.45,9.45,167900,0.0,0.0
2011-10-26,9.48,9.76,9.28,9.45,9.45,174900,0.0,0.0
2011-10-27,9.79,9.79,9.0,9.22,9.22,586100,0.0,0.0
2011-10-28,9.26,9.45,9.12,9.33,9.33,215000,0.0,0.0
2011-10-31,9.12,9.41,8.76,8.87,8.87,249800,0.0,0.0
2011-11-01,8.49,8.93,8.38,8.78,8.78,154500,0.0,0.0
2011-11-02,9.31,9.31,8.54,9.0,9.0,362200,0.0,0.0
2011-11-03,9.16,9.17,8.85,8.95,8.95,328600,0.0,0.0
2011-11-04,8.96,9.13,8.85,9.0,9.0,168400,0.0,0.0
2011-11-07,9.03,9.15,8.95,9.0,9.0,297300,0.0,0.0
2011-11-08,9.14,9.38,8.89,9.0,9.0,436900,0.0,0.0
2011-11-09,8.85,9.08,8.54,8.59,8.59,429900,0.0,0.0
2011-11-10,8.72,8.78,8.31,8.5,8.5,386500,0.0,0.0
2011-11-11,8.56,9.04,8.37,8.6,8.6,492600,0.0,0.0
2011-11-14,8.7,9.31,8.61,9.27,9.27,886700,0.0,0.0
2011-11-15,10.13,10.46,9.75,10.0,10.0,2019200,0.0,0.0
2011-11-16,9.92,10.32,9.91,10.04,10.04,1150400,0.0,0.0
2011-11-17,10.0,10.37,9.62,10.0,10.0,492400,0.0,0.0
2011-11-18,10.0,10.24,9.95,10.06,10.06,381500,0.0,0.0
2011-11-21,9.93,10.0,9.5,9.53,9.53,352000,0.0,0.0
2011-11-22,9.47,9.47,8.95,9.2,9.2,321000,0.0,0.0
2011-11-23,9.11,9.4,8.96,9.01,9.01,363500,0.0,0.0
2011-11-25,9.65,9.65,9.05,9.37,9.37,258700,0.0,0.0
2011-11-28,9.54,10.03,9.54,10.0,10.0,446200,0.0,0.0
2011-11-29,9.95,10.04,9.2,9.28,9.28,261400,0.0,0.0
2011-11-30,9.5,10.01,9.49,9.86,9.86,484600,0.0,0.0
2011-12-01,9.79,9.8,9.47,9.47,9.47,131800,0.0,0.0
2011-12-02,9.59,9.59,9.48,9.58,9.58,40100,0.0,0.0
2011-12-05,9.6,9.78,9.56,9.65,9.65,154600,0.0,0.0
2011-12-06,9.62,9.62,9.17,9.31,9.31,53700,0.0,0.0
2011-12-07,9.2,9.2,8.82,9.05,9.05,205000,0.0,0.0
2011-12-08,8.97,9.1,8.89,9.0,9.0,112100,0.0,0.0
2011-12-09,9.0,9.26,8.97,9.14,9.14,177400,0.0,0.0
2011-12-12,9.08,9.08,8.62,8.94,8.94,41300,0.0,0.0
2011-12-13,8.95,9.05,8.79,8.99,8.99,96600,0.0,0.0
2011-12-14,8.9,8.9,8.51,8.74,8.74,57000,0.0,0.0
2011-12-15,8.7,8.88,8.6,8.73,8.73,33100,0.0,0.0
2011-12-16,8.92,9.67,8.92,9.58,9.58,279500,0.0,0.0
2011-12-19,9.6,9.7,9.21,9.22,9.22,80500,0.0,0.0
2011-12-20,9.45,9.6,9.2,9.57,9.57,174000,0.0,0.0
2011-12-21,9.5,9.65,9.28,9.43,9.43,142100,0.0,0.0
2011-12-22,9.4,9.7,9.23,9.55,9.55,236900,0.0,0.0
2011-12-23,9.5,9.5,9.2,9.37,9.37,67000,0.0,0.0
2011-12-27,9.3,9.3,9.03,9.11,9.11,109900,0.0,0.0
2011-12-28,9.18,9.18,8.98,9.04,9.04,48100,0.0,0.0
2011-12-29,8.99,9.11,8.77,9.07,9.07,103700,0.0,0.0
2011-12-30,9.1,9.48,8.89,9.15,9.15,216700,0.0,0.0
2012-01-03,9.27,9.41,9.19,9.33,9.33,329000,0.0,0.0
2012-01-04,9.31,9.45,9.23,9.39,9.39,717500,0.0,0.0
2012-01-05,9.35,9.4,9.23,9.32,9.32,124100,0.0,0.0
2012-01-06,9.21,9.54,9.19,9.35,9.35,144000,0.0,0.0
2012-01-09,9.41,9.41,9.16,9.35,9.35,142700,0.0,0.0
2012-01-10,9.4,10.05,9.39,10.04,10.04,735400,0.0,0.0
2012-01-11,10.22,10.47,9.96,10.38,10.38,503400,0.0,0.0
2012-01-12,10.42,10.57,10.41,10.46,10.46,116100,0.0,0.0
2012-01-13,10.48,10.48,10.02,10.22,10.22,132100,0.0,0.0
2012-01-17,10.37,10.48,10.35,10.46,10.46,176600,0.0,0.0
2012-01-18,10.42,10.6,10.37,10.51,10.51,106600,0.0,0.0
2012-01-19,10.48,10.48,9.88,10.37,10.37,349600,0.0,0.0
2012-01-20,10.25,10.27,10.06,10.25,10.25,118300,0.0,0.0
2012-01-23,10.29,10.57,10.11,10.38,10.38,190100,0.0,0.0
2012-01-24,10.29,10.49,10.18,10.45,10.45,129000,0.0,0.0
2012-01-25,10.48,10.5,10.17,10.28,10.28,110600,0.0,0.0
2012-01-26,10.35,10.4,10.09,10.4,10.4,108500,0.0,0.0
2012-01-27,10.38,10.68,10.08,10.49,10.49,217100,0.0,0.0
2012-01-30,10.41,10.54,10.33,10.44,10.44,55200,0.0,0.0
2012-01-31,10.45,10.73,10.43,10.72,10.72,230100,0.0,0.0
2012-02-01,10.75,11.44,10.73,11.33,11.33,656100,0.0,0.0
2012-02-02,11.33,11.61,10.56,11.55,11.55,280600,0.0,0.0
2012-02-03,11.66,12.2,11.48,12.11,12.11,399100,0.0,0.0
2012-02-06,12.2,12.2,11.53,12.07,12.07,254400,0.0,0.0
2012-02-07,12.27,12.28,11.92,12.0,12.0,225300,0.0,0.0
2012-02-08,11.97,12.18,11.83,12.0,12.0,87800,0.0,0.0
2012-02-09,11.95,12.19,11.87,11.98,11.98,202500,0.0,0.0
2012-02-10,11.8,12.12,11.36,11.98,11.98,472700,0.0,0.0
2012-02-13,12.01,12.11,11.55,11.85,11.85,196000,0.0,0.0
2012-02-14,11.68,11.72,11.2,11.31,11.31,210200,0.0,0.0
2012-02-15,11.1,11.2,10.77,10.83,10.83,216600,0.0,0.0
2012-02-16,10.73,11.68,10.51,11.43,11.43,183000,0.0,0.0
2012-02-17,11.4,11.4,10.9,10.91,10.91,142600,0.0,0.0
2012-02-21,11.0,11.0,10.62,10.9,10.9,189800,0.0,0.0
2012-02-22,10.74,11.23,10.74,11.09,11.09,119700,0.0,0.0
