Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1997-05-05,24.194929,24.623159,24.123558,24.480415,5.709386,907050,0.0,0.0
1997-05-06,24.551786,24.69453,24.409044,24.551786,5.726029,536629,0.0,0.0
1997-05-07,22.838873,23.267101,22.482014,22.7675,5.309892,747322,0.0,0.0
1997-05-08,22.553387,22.981615,21.125956,21.554186,5.026923,2761432,0.0,0.0
1997-05-09,21.411442,21.982414,21.411442,21.554186,5.026923,880954,0.0,0.0
1997-05-12,21.554186,21.982414,21.411442,21.554186,5.026923,501601,0.0,0.0
1997-05-13,21.411442,21.696928,21.411442,21.411442,4.993629,420686,0.0,0.0
1997-05-14,21.696928,21.982414,21.696928,21.83967,5.093503,391963,0.0,0.0
1997-05-15,21.83967,22.410643,21.83967,22.410643,5.226667,580064,0.0,0.0
1997-05-16,22.2679,22.553387,22.125156,22.125156,5.160082,189852,0.0,0.0
1997-05-19,22.125156,22.410643,22.125156,22.410643,5.226667,728407,0.0,0.0
1997-05-20,22.2679,22.696129,22.2679,22.696129,5.293248,201061,0.0,0.0
1997-05-21,22.696129,22.838873,22.553387,22.838873,5.32654,322082,0.0,0.0
1997-05-22,22.981615,22.981615,22.624758,22.838873,5.32654,625425,0.0,0.0
1997-05-23,22.910242,23.267101,22.838873,22.981615,5.359828,216473,0.0,0.0
1997-05-27,23.124357,23.267101,22.981615,23.124357,5.393122,212095,0.0,0.0
1997-05-28,23.124357,23.267101,23.124357,23.195728,5.409768,183547,0.0,0.0
1997-05-29,23.124357,23.267101,22.981615,23.124357,5.393122,192129,0.0,0.0
1997-05-30,22.696129,23.267101,22.553387,23.267101,5.426411,188976,0.0,0.0
1997-06-02,23.409843,23.980816,23.267101,23.980816,5.592867,260783,0.0,0.0
1997-06-03,23.980816,24.409044,23.838072,24.2663,5.65945,590047,0.0,0.0
1997-06-04,24.2663,24.2663,23.980816,23.980816,5.592867,350981,0.0,0.0
1997-06-05,23.980816,24.409044,23.980816,24.409044,5.692735,338370,0.0,0.0
1997-06-06,24.337673,24.765902,24.337673,24.623159,5.742675,482686,0.0,0.0
1997-06-09,24.551786,24.980017,24.551786,24.980017,5.825903,149394,0.0,0.0
1997-06-10,24.980017,25.265503,24.837273,24.980017,5.825903,475330,0.0,0.0
1997-06-11,24.980017,24.980017,24.2663,24.2663,5.65945,287930,0.0,0.0
1997-06-12,24.123558,24.2663,23.838072,23.980816,5.592867,380579,0.0,0.0
1997-06-13,24.2663,24.409044,23.980816,24.123558,5.626156,508782,0.0,0.0
1997-06-16,24.2663,24.2663,23.838072,23.838072,5.559573,285128,0.0,0.0
1997-06-17,23.623959,23.838072,23.552588,23.838072,5.559573,708091,0.0,0.0
1997-06-18,23.909445,24.194929,23.766701,23.909445,5.576219,418760,0.0,0.0
1997-06-19,23.980816,25.122759,23.980816,24.980017,5.825903,223128,0.0,0.0
1997-06-20,25.408245,25.408245,24.837273,24.980017,5.825903,632431,0.0,0.0
1997-06-23,25.122759,25.693731,24.980017,25.265503,5.892481,315427,0.0,0.0
1997-06-24,25.265503,25.550987,24.765902,24.765902,5.775965,487415,0.0,0.0
1997-06-25,24.765902,24.837273,24.230616,24.551786,5.726029,232936,0.0,0.0
1997-06-26,24.69453,24.765902,24.2663,24.480415,5.709386,141513,0.0,0.0
