Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-07,10.2,10.29,10.19,10.29,10.29,126300,0.0,0.0
2025-07-08,10.25,10.325,10.23,10.29,10.29,155300,0.0,0.0
2025-07-09,10.3,10.4,10.24,10.34,10.34,112600,0.0,0.0
2025-07-10,10.29,10.345,10.27,10.33,10.33,151100,0.0,0.0
2025-07-11,10.31,10.37,10.27,10.32,10.32,62900,0.0,0.0
2025-07-14,10.31,10.31,10.27,10.285,10.285,384300,0.0,0.0
2025-07-15,10.28,10.33,10.27,10.3,10.3,81100,0.0,0.0
2025-07-16,10.35,10.35,10.28,10.32,10.32,12600,0.0,0.0
2025-07-17,10.28,10.38,10.28,10.3,10.3,347200,0.0,0.0
2025-07-18,10.27,10.34,10.23,10.34,10.34,191600,0.0,0.0
2025-07-21,10.28,10.3,10.27,10.28,10.28,193100,0.0,0.0
2025-07-22,10.28,10.34,10.28,10.29,10.29,16300,0.0,0.0
2025-07-23,10.291,10.33,10.25,10.3,10.3,409300,0.0,0.0
2025-07-24,10.302,10.35,10.3,10.3,10.3,26000,0.0,0.0
2025-07-25,10.3,10.3,10.29,10.3,10.3,38400,0.0,0.0
2025-07-28,10.29,10.33,10.29,10.305,10.305,32300,0.0,0.0
2025-07-29,10.28,10.29,10.28,10.29,10.29,7100,0.0,0.0
2025-07-30,10.3,10.3,10.25,10.25,10.25,181800,0.0,0.0
2025-07-31,10.26,10.26,10.23,10.25,10.25,14700,0.0,0.0
2025-08-01,10.23,10.26,10.23,10.26,10.26,30100,0.0,0.0
2025-08-04,10.24,10.25,10.24,10.25,10.25,8700,0.0,0.0
2025-08-05,10.24,10.26,10.23,10.25,10.25,31100,0.0,0.0
2025-08-06,10.282,10.29,10.2,10.235,10.235,185100,0.0,0.0
2025-08-07,10.23,10.3,9.67,10.22,10.22,107600,0.0,0.0
2025-08-08,10.188,10.22,10.188,10.19,10.19,34300,0.0,0.0
2025-08-11,10.15,10.215,10.15,10.21,10.21,117000,0.0,0.0
2025-08-12,10.16,10.17,10.15,10.15,10.15,44400,0.0,0.0
2025-08-13,10.158,10.21,10.06,10.083,10.083,366700,0.0,0.0
2025-08-14,10.11,10.25,10.11,10.17,10.17,50500,0.0,0.0
2025-08-15,10.11,10.17,10.11,10.13,10.13,28100,0.0,0.0
2025-08-18,10.18,10.18,10.09,10.105,10.105,196200,0.0,0.0
2025-08-19,10.1,10.11,10.09,10.11,10.11,437300,0.0,0.0
2025-08-20,10.105,10.14,10.1,10.14,10.14,105500,0.0,0.0
2025-08-21,10.136,10.15,10.11,10.135,10.135,495100,0.0,0.0
2025-08-22,10.111,10.14,10.1,10.13,10.13,46800,0.0,0.0
2025-08-25,10.12,10.14,10.12,10.14,10.14,1700,0.0,0.0
2025-08-26,10.12,10.14,10.12,10.13,10.13,257100,0.0,0.0
2025-08-27,10.13,10.15,10.12,10.13,10.13,499700,0.0,0.0
2025-08-28,10.17,10.18,10.13,10.14,10.14,30300,0.0,0.0
