Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-04-01,60.0,60.0,47.0,55.0,55.0,162410,0.0,0.0
2020-04-02,55.0,56.0,52.5,53.900002,53.900002,13770,0.0,0.0
2020-04-03,53.900002,55.0,52.099998,52.5,52.5,11060,0.0,0.0
2020-04-06,54.900002,54.900002,51.400002,52.5,52.5,7890,0.0,0.0
2020-04-07,52.5,54.450001,52.0,54.34,54.34,3310,0.0,0.0
2020-04-08,55.0,55.099998,53.599998,54.849998,54.849998,12980,0.0,0.0
2020-04-09,55.0,55.0,51.599998,52.700001,52.700001,6740,0.0,0.0
2020-04-13,55.0,55.0,52.259998,52.799999,52.799999,3970,0.0,0.0
2020-04-14,55.0,55.0,52.0,52.400002,52.400002,5330,0.0,0.0
2020-04-15,52.5,54.400002,52.099998,52.200001,52.200001,1850,0.0,0.0
2020-04-16,52.299999,54.0,52.099998,52.299999,52.299999,1700,0.0,0.0
2020-04-17,53.900002,53.900002,52.0,52.900002,52.900002,1720,0.0,0.0
2020-04-20,53.0,53.490002,52.099998,52.299999,52.299999,1670,0.0,0.0
2020-04-21,52.099998,52.900002,52.099998,52.299999,52.299999,990,0.0,0.0
2020-04-22,53.400002,55.0,52.459999,54.0,54.0,12120,0.0,0.0
2020-04-23,55.0,55.0,52.099998,52.779999,52.779999,5450,0.0,0.0
2020-04-24,53.0,53.0,52.099998,52.200001,52.200001,4010,0.0,0.0
2020-04-27,53.0,53.0,51.700001,52.099998,52.099998,3760,0.0,0.0
2020-04-28,52.099998,52.700001,52.0,52.299999,52.299999,2050,0.0,0.0
2020-04-29,53.0,53.0,52.0,52.5,52.5,8350,0.0,0.0
2020-04-30,52.0,52.5,43.900002,52.5,52.5,17730,0.0,0.0
2020-05-01,52.5,52.5,46.509998,48.799999,48.799999,2420,0.0,0.0
2020-05-04,49.799999,49.799999,45.599998,46.599998,46.599998,3020,0.0,0.0
2020-05-05,47.73,48.0,44.0,44.299999,44.299999,3170,0.0,0.0
2020-05-06,44.5,46.599998,44.099998,44.5,44.5,1530,0.0,0.0
2020-05-07,47.0,47.0,44.400002,44.5,44.5,2320,0.0,0.0
2020-05-08,45.900002,46.799999,45.5,45.5,45.5,940,0.0,0.0
2020-05-11,46.400002,49.5,46.099998,47.5,47.5,5090,0.0,0.0
2020-05-12,48.599998,49.5,48.400002,49.0,49.0,2600,0.0,0.0
2020-05-13,49.0,49.0,45.599998,46.599998,46.599998,2280,0.0,0.0
2020-05-14,46.5,46.5,44.400002,44.599998,44.599998,2400,0.0,0.0
2020-05-15,44.099998,46.0,44.099998,44.599998,44.599998,830,0.0,0.0
2020-05-18,47.799999,49.5,44.709999,45.099998,45.099998,11800,0.0,0.0
2020-05-19,45.5,48.0,45.099998,46.400002,46.400002,4610,0.0,0.0
2020-05-20,46.5,47.200001,43.599998,44.099998,44.099998,4940,0.0,0.0
2020-05-21,45.0,45.0,36.700001,38.599998,38.599998,10320,0.0,0.0
2020-05-22,37.099998,40.099998,32.900002,37.200001,37.200001,13730,0.0,0.0
2020-05-26,38.299999,41.299999,37.0,38.900002,38.900002,13590,0.0,0.0
2020-05-27,39.5,39.75,37.700001,37.700001,37.700001,6590,0.0,0.0
2020-05-28,40.0,40.0,36.099998,36.5,36.5,4120,0.0,0.0
2020-05-29,37.700001,38.900002,36.099998,37.0,37.0,2780,0.0,0.0
2020-06-01,37.400002,37.5,35.299999,35.799999,35.799999,5920,0.0,0.0
2020-06-02,35.900002,36.400002,34.439999,34.700001,34.700001,19290,0.0,0.0
2020-06-03,35.900002,35.900002,33.900002,33.900002,33.900002,16580,0.0,0.0
2020-06-04,36.0,36.490002,34.0,34.0,34.0,27490,0.0,0.0
2020-06-05,33.900002,34.900002,32.049999,34.5,34.5,11970,0.0,0.0
2020-06-08,36.299999,37.0,34.0,34.099998,34.099998,12230,0.0,0.0
2020-06-09,35.799999,36.0,34.0,35.200001,35.200001,11790,0.0,0.0
2020-06-10,36.200001,39.5,35.200001,37.200001,37.200001,19880,0.0,0.0
2020-06-11,37.700001,38.299999,35.0,35.799999,35.799999,7160,0.0,0.0
2020-06-12,37.900002,38.0,35.0,35.200001,35.200001,7820,0.0,0.0
2020-06-15,35.200001,38.0,34.200001,35.400002,35.400002,12820,0.0,0.0
2020-06-16,36.0,37.200001,34.599998,34.700001,34.700001,8140,0.0,0.0
2020-06-17,34.5,36.549999,34.5,35.200001,35.200001,5670,0.0,0.0
2020-06-18,35.200001,36.900002,34.900002,34.900002,34.900002,10710,0.0,0.0
2020-06-19,35.200001,36.900002,34.799999,34.799999,34.799999,8100,0.0,0.0
2020-06-22,34.900002,35.099998,33.799999,34.799999,34.799999,4280,0.0,0.0
2020-06-23,35.0,39.400002,35.0,36.200001,36.200001,22800,0.0,0.0
2020-06-24,36.099998,37.700001,36.099998,36.400002,36.400002,5840,0.0,0.0
2020-06-25,36.599998,38.0,36.099998,37.0,37.0,4540,0.0,0.0
2020-06-26,37.599998,37.599998,35.0,35.0,35.0,6510,0.0,0.0
2020-06-29,35.599998,36.299999,34.099998,34.299999,34.299999,5560,0.0,0.0
2020-06-30,34.5,35.700001,34.419998,34.5,34.5,5420,0.0,0.0
2020-07-01,34.599998,35.5,34.200001,34.400002,34.400002,2990,0.0,0.0
2020-07-02,34.099998,35.5,34.099998,34.700001,34.700001,2530,0.0,0.0
2020-07-06,36.900002,38.900002,35.200001,35.400002,35.400002,23560,0.0,0.0
2020-07-07,35.099998,36.5,35.099998,35.200001,35.200001,9050,0.0,0.0
2020-07-08,36.5,36.5,34.799999,35.0,35.0,19410,0.0,0.0
2020-07-09,35.799999,42.5,35.400002,38.400002,38.400002,137380,0.0,0.0
2020-07-10,80.0,152.0,66.0,146.300003,146.300003,15466400,0.0,0.0
2020-07-13,191.300003,295.0,183.699997,247.399994,247.399994,5775130,0.0,0.0
2020-07-14,176.0,195.100006,160.0,175.899994,175.899994,808000,0.0,0.0
2020-07-15,154.600006,210.0,153.100006,164.300003,164.300003,648020,0.0,0.0
2020-07-16,170.600006,194.300003,168.600006,179.899994,179.899994,408340,0.0,0.0
2020-07-17,179.300003,185.0,161.199997,162.899994,162.899994,145170,0.0,0.0
2020-07-20,163.0,163.100006,136.800003,138.0,138.0,177950,0.0,0.0
2020-07-21,142.0,143.0,113.650002,124.099998,124.099998,258710,0.0,0.0
2020-07-22,123.400002,138.699997,118.099998,131.699997,131.699997,192670,0.0,0.0
2020-07-23,125.300003,129.399994,116.0,119.5,119.5,90520,0.0,0.0
2020-07-24,113.199997,115.0,104.599998,112.099998,112.099998,153330,0.0,0.0
2020-07-27,81.900002,83.199997,71.099998,72.900002,72.900002,742810,0.0,0.0
2020-07-28,77.5,82.900002,73.400002,73.900002,73.900002,704240,0.0,0.0
2020-07-29,75.300003,79.800003,74.0,76.300003,76.300003,250620,0.0,0.0
2020-07-30,73.699997,75.0,70.349998,71.199997,71.199997,179630,0.0,0.0
2020-07-31,73.400002,73.5,65.300003,66.900002,66.900002,266880,0.0,0.0
2020-08-03,68.599998,72.800003,67.5,71.900002,71.900002,225410,0.0,0.0
2020-08-04,71.099998,95.690002,69.0,83.699997,83.699997,2373520,0.0,0.0
2020-08-05,83.800003,90.900002,81.199997,89.300003,89.300003,497500,0.0,0.0
2020-08-06,89.300003,102.300003,87.599998,96.199997,96.199997,770780,0.0,0.0
2020-08-07,93.5,95.0,85.0,87.0,87.0,304490,0.0,0.0
2020-08-10,94.099998,94.800003,82.0,83.0,83.0,299950,0.0,0.0
2020-08-11,83.599998,83.900002,74.599998,76.300003,76.300003,277440,0.0,0.0
2020-08-12,77.900002,79.5,76.0,78.699997,78.699997,117600,0.0,0.0
2020-08-13,78.199997,83.099998,76.480003,80.199997,80.199997,165020,0.0,0.0
2020-08-14,84.199997,84.199997,78.0,82.5,82.5,121090,0.0,0.0
2020-08-17,80.699997,82.5,77.0,77.699997,77.699997,124920,0.0,0.0
2020-08-18,77.699997,81.400002,76.5,78.400002,78.400002,197010,0.0,0.0
2020-08-19,79.0,81.0,76.949997,80.099998,80.099998,152110,0.0,0.0
2020-08-20,80.099998,88.5,78.5,84.900002,84.900002,320030,0.0,0.0
2020-08-21,87.0,87.400002,77.5,78.199997,78.199997,219410,0.0,0.0
2020-08-24,78.699997,78.809998,72.099998,77.900002,77.900002,185160,0.0,0.0
2020-08-25,77.0,77.760002,75.199997,75.5,75.5,114320,0.0,0.0
2020-08-26,75.699997,81.5,75.5,75.599998,75.599998,171210,0.0,0.0
2020-08-27,76.5,79.900002,73.800003,74.800003,74.800003,205680,0.0,0.0
