Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1986-08-28,0.347222,0.388889,0.347222,0.347222,0.234539,175500,0.0,0.0
1986-08-29,0.361111,0.388889,0.361111,0.361111,0.24392,235800,0.0,0.0
1986-09-02,0.361111,0.375,0.347222,0.347222,0.234539,77400,0.0,0.0
1986-09-03,0.347222,0.361111,0.347222,0.347222,0.234539,43200,0.0,0.0
1986-09-04,0.347222,0.361111,0.347222,0.347222,0.234539,170100,0.0,0.0
1986-09-05,0.347222,0.361111,0.347222,0.347222,0.234539,54000,0.0,0.0
1986-09-08,0.347222,0.361111,0.347222,0.347222,0.234539,18000,0.0,0.0
1986-09-09,0.347222,0.361111,0.347222,0.347222,0.234539,35100,0.0,0.0
1986-09-10,0.347222,0.361111,0.347222,0.347222,0.234539,16200,0.0,0.0
1986-09-11,0.347222,0.361111,0.347222,0.347222,0.234539,43200,0.0,0.0
1986-09-12,0.347222,0.361111,0.347222,0.347222,0.234539,99000,0.0,0.0
1986-09-15,0.347222,0.357639,0.347222,0.347222,0.234539,63000,0.0,0.0
1986-09-16,0.347222,0.375,0.347222,0.347222,0.234539,37800,0.0,0.0
1986-09-17,0.347222,0.375,0.347222,0.347222,0.234539,6300,0.0,0.0
1986-09-18,0.347222,0.375,0.347222,0.347222,0.234539,27000,0.0,0.0
1986-09-19,0.347222,0.375,0.347222,0.347222,0.234539,26100,0.0,0.0
1986-09-22,0.347222,0.375,0.347222,0.347222,0.234539,413100,0.0,0.0
1986-09-23,0.347222,0.375,0.347222,0.347222,0.234539,27000,0.0,0.0
1986-09-24,0.347222,0.375,0.347222,0.347222,0.234539,44100,0.0,0.0
1986-09-25,0.361111,0.368056,0.361111,0.361111,0.24392,103500,0.0,0.0
1986-09-26,0.361111,0.381944,0.361111,0.361111,0.24392,99000,0.0,0.0
1986-09-29,0.326389,0.326389,0.319444,0.319444,0.215775,60300,0.0,0.0
1986-09-30,0.291667,0.291667,0.277778,0.277778,0.187631,133200,0.0,0.0
1986-10-01,0.277778,0.3125,0.270833,0.270833,0.18294,218700,0.0,0.0
