Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2011-10-13,23.5,24.27,23.0,24.25,19.913763,396800,0.0,0.0
2011-10-14,24.360001,25.49,24.360001,25.35,20.81707,402600,0.0,0.0
2011-10-17,25.5,25.799999,25.16,25.16,20.661041,583400,0.0,0.0
2011-10-18,25.059999,25.360001,24.9,25.24,20.726744,423500,0.0,0.0
2011-10-19,25.25,25.35,24.75,24.75,20.324358,722200,0.0,0.0
2011-10-20,24.799999,25.030001,24.33,24.75,20.324358,549700,0.0,0.0
2011-10-21,25.0,25.75,24.950001,25.540001,20.973097,1764500,0.0,0.0
2011-10-24,25.5,25.85,25.5,25.77,21.161966,371300,0.0,0.0
2011-10-25,25.879999,26.08,25.0,25.75,21.145538,546800,0.0,0.0
2011-10-26,26.09,26.09,24.860001,25.02,20.546082,657300,0.0,0.0
2011-10-27,25.25,25.950001,25.25,25.620001,21.038795,405400,0.0,0.0
2011-10-28,25.5,25.82,25.25,25.82,21.203028,584700,0.0,0.0
2011-10-31,26.25,26.74,25.25,26.74,21.958521,15106000,0.0,0.0
2011-11-01,25.6,28.280001,25.15,27.309999,22.426598,6095200,0.0,0.0
2011-11-02,27.4,27.4,25.790001,26.620001,21.85998,2476700,0.0,0.0
2011-11-03,26.940001,27.07,26.379999,26.389999,21.671106,1615000,0.0,0.0
2011-11-04,26.17,26.59,24.879999,25.190001,20.685686,1923300,0.0,0.0
2011-11-07,24.91,25.48,24.370001,24.6,20.201181,2703500,0.0,0.0
2011-11-08,25.1,25.35,24.76,24.940001,20.480392,2024100,0.0,0.0
2011-11-09,24.35,25.0,23.84,23.889999,19.618134,1570900,0.0,0.0
2011-11-10,24.48,24.709999,23.52,23.65,19.421057,1166000,0.0,0.0
2011-11-11,23.879999,24.09,23.629999,23.790001,19.536018,1266200,0.0,0.0
2011-11-14,23.58,24.1,23.49,23.93,19.734774,1339000,0.101,0.0
2011-11-15,23.940001,24.370001,23.82,23.99,19.784246,1657700,0.0,0.0
2011-11-16,23.950001,24.6,23.780001,24.120001,19.891462,1804600,0.0,0.0
2011-11-17,24.0,24.190001,23.66,23.85,19.668798,1279200,0.0,0.0
2011-11-18,23.879999,24.139999,23.719999,23.93,19.734774,1426200,0.0,0.0
2011-11-21,23.700001,23.809999,23.34,23.620001,19.479118,1282100,0.0,0.0
2011-11-22,25.02,26.139999,22.67,23.629999,19.487366,2126400,0.0,0.0
2011-11-23,23.27,23.75,22.879999,23.68,19.528597,1009700,0.0,0.0
2011-11-25,23.450001,23.450001,22.879999,23.0,18.967812,991100,0.0,0.0
2011-11-28,23.66,24.18,23.139999,23.49,19.371916,1567300,0.0,0.0
2011-11-29,23.51,23.6,23.17,23.27,19.190474,1222400,0.0,0.0
2011-11-30,24.059999,24.200001,23.33,23.9,19.710032,2320800,0.0,0.0
2011-12-01,23.809999,24.360001,23.65,24.27,20.015156,1046700,0.0,0.0
2011-12-02,25.48,25.48,24.219999,24.25,19.998665,1208900,0.0,0.0
2011-12-05,24.57,25.15,24.41,25.09,20.691412,930900,0.0,0.0
2011-12-06,25.02,25.07,24.51,24.83,20.476994,662800,0.0,0.0
2011-12-07,24.719999,24.83,23.860001,24.57,20.26256,951200,0.0,0.0
2011-12-08,24.450001,24.549999,23.799999,23.879999,19.693537,938700,0.0,0.0
