Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-06-29,21.25,22.125,21.125,21.875,5.692515,34346800,0.0,0.0
1993-06-30,22.0,23.0,21.625,21.75,5.659986,9060600,0.0,0.0
1993-07-01,21.375,21.625,21.0,21.25,5.529872,4273100,0.0,0.0
1993-07-02,21.125,21.25,20.75,21.125,5.497342,2504500,0.0,0.0
1993-07-06,20.875,21.0,20.625,20.75,5.399756,2030400,0.0,0.0
1993-07-07,20.875,21.0,20.625,20.875,5.432286,2447800,0.0,0.0
1993-07-08,20.875,21.0,20.625,20.75,5.399756,1115800,0.0,0.0
1993-07-09,20.75,20.75,20.25,20.25,5.269642,1615700,0.0,0.0
1993-07-12,20.25,20.625,20.25,20.375,5.302171,2075000,0.0,0.0
1993-07-13,20.375,20.5,20.25,20.5,5.334702,1914700,0.0,0.0
1993-07-14,20.5,20.5,19.875,20.25,5.269642,3669300,0.0,0.0
1993-07-15,20.125,20.375,19.875,19.875,5.172059,2585400,0.0,0.0
1993-07-16,19.875,20.125,19.125,19.5,5.074471,2213200,0.0,0.0
1993-07-19,19.25,19.375,18.875,19.0,4.944356,2702800,0.0,0.0
1993-07-20,19.25,19.625,19.25,19.5,5.074471,1508100,0.0,0.0
1993-07-21,19.5,19.625,19.375,19.5,5.074471,936000,0.0,0.0
1993-07-22,19.5,19.625,19.375,19.625,5.106999,813800,0.0,0.0
1993-07-23,19.625,19.75,19.5,19.625,5.106999,720300,0.0,0.0
1993-07-26,20.0,20.125,19.875,20.0,5.204585,1553700,0.0,0.0
1993-07-27,20.125,20.375,20.0,20.375,5.302171,1567100,0.0,0.0
1993-07-28,20.5,20.75,20.375,20.625,5.36723,1318200,0.0,0.0
1993-07-29,20.625,20.75,20.5,20.625,5.36723,611000,0.0,0.0
1993-07-30,20.625,20.625,20.25,20.25,5.269642,988600,0.0,0.0
1993-08-02,20.375,20.625,20.375,20.5,5.334702,1671000,0.0,0.0
1993-08-03,20.5,20.625,20.125,20.375,5.302171,971500,0.0,0.0
