Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-08-25,51.16,51.209999,50.740002,51.080002,50.69075,15500,0.0,0.0,0.0
2026-08-26,50.939999,51.73,50.939999,51.52,51.127396,4400,0.0,0.0,0.0
2026-08-27,52.57,52.57,51.209999,51.599998,51.206783,8800,0.0,0.0,0.0
2026-08-28,51.650002,51.68,51.110001,51.349998,50.958687,5300,0.0,0.0,0.0
2026-08-31,51.400002,51.740002,50.939999,51.740002,51.345718,8400,0.0,0.0,0.0
2026-09-01,50.959999,51.700001,50.509998,50.73,50.343414,6900,0.0,0.0,0.0
2026-09-02,51.099998,51.450001,50.740002,51.419998,51.028156,4500,0.0,0.0,0.0
2026-09-03,51.16,51.630001,50.0,51.380001,50.988461,11200,0.0,0.0,0.0
2026-09-04,52.27,53.599998,52.27,53.599998,53.191544,10300,0.0,0.0,0.0
2026-09-08,54.91,55.450001,54.5,54.59,54.174,25200,0.0,0.0,0.0
2026-09-09,55.110001,55.880001,54.759998,55.400002,55.400002,27800,0.416,0.0,0.0
2026-09-10,53.700001,53.799999,52.970001,53.029999,53.029999,8000,0.0,0.0,0.0
2026-09-11,53.990002,53.990002,52.900002,53.200001,53.200001,11924,0.0,0.0,0.0
