Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-10-17,30.0,30.0,25.65,25.65,23.289717,251900,0.0,0.0
2016-10-18,26.172001,26.172001,23.790001,24.440001,22.191065,349300,0.0,0.0
2016-10-19,24.860001,24.860001,24.15,24.26,22.027624,222700,0.0,0.0
2016-10-20,24.26,24.26,24.26,24.26,22.027624,0,0.0,0.0
2016-10-21,24.25,25.110001,24.25,24.92,22.626892,354600,0.0,0.0
2016-10-24,25.209999,25.43,24.85,25.23,22.908365,384600,0.0,0.0
2016-10-25,25.0,25.700001,24.5,24.52,22.263699,1305600,0.0,0.0
2016-10-26,24.26,24.889999,24.08,24.75,22.472534,1537700,0.0,0.0
2016-10-27,24.82,24.969999,24.66,24.83,22.545172,847100,0.0,0.0
2016-10-28,24.83,24.83,24.0,24.360001,22.118427,1666800,0.0,0.0
2016-10-31,24.5,24.77,24.0,24.24,22.009464,4294700,0.0,0.0
2016-11-01,24.51,27.135,24.0,26.190001,23.780027,87709200,0.0,0.0
2016-11-02,26.190001,27.4,26.190001,26.59,24.143217,15943800,0.0,0.0
2016-11-03,26.780001,27.1,26.639999,26.85,24.379293,7706500,0.0,0.0
2016-11-04,26.98,28.139999,26.851,27.58,25.042118,9972000,0.0,0.0
2016-11-07,27.870001,28.66,26.35,26.709999,24.252184,12851300,0.0,0.0
2016-11-08,25.98,27.26,25.610001,26.59,24.143217,11444800,0.0,0.0
2016-11-09,25.959999,26.610001,25.959999,26.0,23.607513,8522500,0.0,0.0
2016-11-10,26.26,26.780001,25.85,26.0,23.607513,8073500,0.0,0.0
2016-11-11,25.83,28.035,25.83,26.98,24.49733,7137200,0.0,0.0
2016-11-14,27.09,27.379999,25.68,25.879999,23.498547,4946600,0.0,0.0
2016-11-15,25.9,26.65,25.5,26.559999,24.115978,8663100,0.0,0.0
2016-11-16,26.4,27.610001,26.4,26.940001,24.461014,4773700,0.0,0.0
2016-11-17,27.16,27.215,26.93,27.09,24.597208,2739200,0.0,0.0
2016-11-18,27.139999,28.620001,27.030001,28.25,25.650465,4080400,0.0,0.0
2016-11-21,28.16,28.99,27.969999,28.92,26.258812,3358700,0.0,0.0
